authors,name,price,publisher,rating,tags
雷米,心理罪之教化场,￥9.99,北京华章同人文化传播有限公司,9.6,"犯罪,犯罪心理学,悬疑,中国,小说,推理"
,Python接口自动化测试,￥40.00,,9.8,
当年明月,明朝那些事儿（套装全七册）,￥15.00,北京磨铁数盟信息技术有限公司,9.7,"历史,明朝那些事,明史,明朝,中国历史"
,追女孩你要这么聊,￥50.00,,7.7,
王利杰,投资异类,￥53.99,天津湛庐图书有限公司,,
锦竹,让我爱你，永远为期,￥1.99,杭州创策科技有限公司,9.2,"言情,文学,青梅竹马,小说,现代都市,暖心,虐恋,感动,男女,都市,青春文学,爱情,治愈,青春"
余秋雨,空岛,￥18.00,北京中作华文数字传媒股份有限公司,8.6,"传奇,历史,收藏,海盗,小说,传统文化,文学,现当代"
老舍,“人民艺术家”老舍文集（全5册）,￥24.99,天津博集新媒科技有限公司,,"文学,小说"
徐志摩,徐志摩情书诗文精选（共2册）,￥25.99,天津博集新媒科技有限公司,2,"文学,散文,爱情,随笔"
东野圭吾,沉睡的人鱼之家,9.99,北京磨铁图书,9.2,
桐华,长相思3,￥6.99,天津博集新媒科技有限公司,9.7,"小说,文学,言情"
常书欣,余罪：我的刑侦笔记3,￥18.66,上海读客图书有限公司,9.2,
秦加林,从零开始学炒股,￥25.00,北京华章图文信息有限公司,7.8,"经济,股市,股票,经济学,学习,理财,炒股,投资,金融,技术分析"
顾西爵,满满都是我对你的爱,￥9.99,北京白马时光文化发展有限公司,9.3,"随笔,青春,爱情,小说,言情"
朱迪斯哈里斯,教养的迷思：父母的教养方式能否决定孩子的人格发展？,￥9.99,上海译文出版社,4,
天下霸唱,鬼吹灯之圣泉寻踪,￥24.99,北京新华先锋出版科技有限公司,8.7,"小说,鬼吹灯,盗墓,网络小说,悬疑,中国"
天下霸唱,鬼吹灯之镇库狂沙,￥24.99,北京新华先锋出版科技有限公司,8.8,"鬼吹灯,悬疑推理,小说,陈坤,惊悚,悬疑,推理"
兰思思,茵为爱,￥1.38,杭州创策科技有限公司,9.7,"情感,小说,爱情,言情,现代都市"
顾西爵,我一直在你身边,￥9.99,白马时光文化发展有限公司,9.4,"小说,温暖,青春文学,白马时光"
